# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
       1      331.14617575
       2      325.89155062
       3      321.35793564
       4      317.50907031
       5      314.30636208
       6      311.71091276
       7      309.68572891
       8      308.19793150
       9      307.22078297
      10      306.73536711
Step= 1728          Time=     864.0000
       0      337.46242300
       1      331.45090270
       2      326.18916404
       3      321.64553708
       4      317.78458431
       5      314.56870184
       6      311.96006410
       7      309.92274651
       8      308.42484874
       9      307.44044346
      10      306.95119206
Step= 1755          Time=     877.5000
       0      337.76857968
       1      331.75357905
       2      326.48500777
       3      321.93176115
       4      318.05919208
       5      314.83064654
       6      312.20932980
       7      310.16034502
       8      308.65273324
       9      307.66134673
      10      307.16840276
Step= 1782          Time=     891.0000
       0      338.07261033
       1      332.05426955
       2      326.77913540
       3      322.21664596
       4      318.33291330
       5      315.09219597
       6      312.45869007
       7      310.39848685
       8      308.88153279
       9      307.88343019
      10      307.38693129
Step= 1809          Time=     904.5000
       0      336.39060709
       1      332.22281629
       2      327.06639498
       3      322.50009214
       4      318.60576456
       5      315.35335002
       6      312.70812595
       7      310.63713591
       8      309.11119718
       9      308.10663366
      10      307.60671228
Step= 1836          Time=     918.0000
       0      332.03382835
       1      331.11964035
       2      327.10114246
       3      322.74793845
       4      318.87409154
       5      315.61378629
       6      312.95759554
       7      310.87625604
       8      309.34167811
       9      308.33089923
      10      307.82768285
Step= 1863          Time=     931.5000
       0      328.77973365
       1      329.50388461
       2      326.72297559
       3      322.85889680
       4      319.11130014
       5      315.86859111
       6      313.20635987
       7      311.11572503
       8      309.57291970
       9      308.55617034
      10      308.04978244
Step= 1890          Time=     945.0000
       0      326.12683990
